bibtexkey,year,title,author,author_prepared,editor,journal,proceeding_title,volume,number,issn,isbn,doi,wosid,keywords,type,category,wos_categories,wos_index,research_areas
RN112,2023,Co-Evolving Dynamics And Topology In A Coupled Oscillator Model Of Resting Brain Function,"Pope, Maria;Seguin, Caio;Varley, Thomas F;Faskowitz, Joshua;Sporns, Olaf","Pope, Maria;Seguin, Caio;Varley, Thomas F;Faskowitz, Joshua;Sporns, Olaf",NA,Neuroimage,NA,277,NA,1053-8119,NA,10.1016/j.neuroimage.2023.120266,WOS:001037422000001,NETWORK OSCILLATIONS; PHASE-TRANSITIONS; DIFFUSION MRI; CONNECTIVITY; METASTABILITY; CRITICALITY; EXCITATION; INHIBITION; COMMUNICATION; SEGREGATION,Journal Article,ARTICLE,"Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging",Science Citation Index Expanded (SCI-EXPANDED),"Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging"
RN138,2022,Making Stability Dependable: Stable Cellphone Access Leads To Better Health Outcomes For Those Experiencing Poverty,"Read, G. L.;Yan, H. Y.;Anderson, P. B.;Partain, L. P. B.;Vaughn, Z.;Semivolos, A.;Kim, Y.;Gonzales, A. L.","Read, G. L.;Yan, Harry Yaojun;Anderson, P. B.;Partain, L. P. B.;Vaughn, Z.;Semivolos, A.;Kim, Y.;Gonzales, A. L.",NA,Information Communication & Society,NA,25,14,1369-118X,NA,10.1080/1369118x.2021.1928263,WOS:000658204700001,SOCIAL NETWORK SITES; MOBILE PHONES; SUPPORT GROUPS; EMOTIONAL SUPPORT; COMMUNICATION; INTERNET; BENEFITS; LIFE; PARTICIPATION; INFORMATION,Journal Article,ARTICLE,Communication; Sociology,Social Science Citation Index (SSCI),Communication; Sociology
RN135,2021,A Persistent Invasive Phenotype In Post-Hypoxic Tumor Cells Is Revealed By Fate Mapping And Computational Modeling,"Rocha, H. L.;Godet, I.;Kurtoglu, F.;Metzcar, J.;Konstantinopoulos, K.;Bhoyar, S.;Gilkes, D. M.;Macklin, P.","Rocha, H. L.;Godet, I.;Kurtoglu, F.;Metzcar, John;Konstantinopoulos, K.;Bhoyar, S.;Gilkes, D. M.;Macklin, Paul",NA,Iscience,NA,24,9,NA,NA,10.1016/j.isci.2021.102935,WOS:000698069100003,HYPOXIA-INDUCIBLE FACTORS; BREAST-CANCER; MIGRATION; EXPRESSION; PROGRESSION; CYCLE,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN124,2022,On The Feasibility Of Dynamical Analysis Of Network Models Of Biochemical Regulation,"Rocha, Luis M","Rocha, Luis M",NA,Bioinformatics,NA,38,14,1367-4803,NA,10.1093/bioinformatics/btac360,WOS:000807453300001,NA,Journal Article,ARTICLE,"Biochemical Research Methods; Biotechnology & Applied Microbiology; Computer Science, Interdisciplinary Applications; Mathematical & Computational Biology; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED),Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Computer Science; Mathematical & Computational Biology; Mathematics
RN125,2022,Disentangling High-Order Mechanisms And High-Order Behaviours In Complex Systems,"Rosas, Fernando E;Mediano, Pedro AM;Luppi, Andrea I;Varley, Thomas F;Lizier, Joseph T;Stramaglia, Sebastiano;Jensen, Henrik J;Marinazzo, Daniele","Rosas, Fernando E;Mediano, Pedro AM;Luppi, Andrea I;Varley, Thomas F;Lizier, Joseph T;Stramaglia, Sebastiano;Jensen, Henrik J;Marinazzo, Daniele",NA,Nature Physics,NA,18,5,1745-2473,NA,10.1038/s41567-022-01548-5,WOS:000771321000006,INFORMATION,Journal Article,ARTICLE,"Physics, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Physics
RN129,2022,On The Importance Of Being Flexible: Dynamic Brain Networks And Their Potential Functional Significances,"Safron, Adam;Klimaj, Victoria;Hipólito, Inês","Safron, Adam;Klimaj, Victoria;Hipólito, Inês",NA,Frontiers in Systems Neuroscience,NA,15,NA,NA,NA,10.3389/fnsys.2021.688424,WOS:000751443000001,PHASE-TRANSITIONS; THEORETICAL-MODEL; MARKOV BLANKETS; HYPOTHESIS; EVOLUTION; RECONFIGURATION; CONSCIOUSNESS; FLEXIBILITY; CRITICALITY; INTEGRATION,Journal Article,ARTICLE,Neurosciences,Science Citation Index Expanded (SCI-EXPANDED),Neurosciences & Neurology
RN153,2020,Neural Responses To Sexual Stimuli In Heterosexual And Homosexual Men And Women: Men's Responses Are More Specific,"Safron, A.;Sylva, D.;Klimaj, V.;Rosenthal, A. M.;Bailey, J. M.","Safron, Adam;Sylva, D.;Klimaj, Victoria;Rosenthal, A. M.;Bailey, J. M.",NA,Archives of Sexual Behavior,NA,49,2,0004-0002,NA,10.1007/s10508-019-01521-z,WOS:000514999700007,NUCLEUS-ACCUMBENS; ORBITOFRONTAL CORTEX; BRAIN ACTIVATION; EROTIC STIMULI; AROUSAL; REWARD; ORIENTATION; FMRI; HYPOTHALAMUS; METAANALYSIS,Journal Article,ARTICLE,"Psychology, Clinical; Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI),Psychology; Social Sciences - Other Topics
RN150,2020,Measuring The Predictability Of Life Outcomes With A Scientific Mass Collaboration,"Salganik, M. J.;Lundberg, I.;Kindel, A. T.;Ahearn, C. E.;Al-Ghoneim, K.;Almaatouq, A.;Altschul, D. M.;Brand, J. E.;Carnegie, N. B.;Compton, R. J.;Datta, D.;Davidson, T.;Filippova, A.;Gilroy, C.;Goode, B. J.;Jahani, E.;Kashyap, R.;Kirchner, A.;McKay, S.;Morgan, A. C.;Pentland, A.;Polimis, K.;Raes, L.;Rigobon, D. E.;Roberts, C. V.;Stanescu, D. M.;Suhara, Y.;Usmania, A.;Wang, E. H.;Adem, M.;Alhajri, A.;AlShebli, B.;Amin, R.;Amos, R. B.;Argyle, L. P.;Baer-Bositis, L.;Büchi, M.;Chung, B. R.;Eggert, W.;Faletto, G.;Fan, Z. L.;Freese, J.;Gadgil, T.;Gagné, J.;Gao, Y.;Halpern-Manners, A.;Hashim, S. P.;Hausen, S.;He, G. H.;Higuera, K.;Hogan, B.;Horwitz, I. M.;Hummel, L. M.;Jain, N.;Jin, K.;Jurgens, D.;Kaminski, P.;Karapetyan, A.;Kim, E. H.;Leizman, B.;Liu, N. J.;Möser, M.;Mack, A. E.;Mahajan, M.;Mandell, N.;Marahrens, H.;Mercado-Garcia, D.;Mocz, V.;Mueller-Gastell, K.;Musse, A.;Niu, Q.;Nowak, W.;Omidvar, H.;Or, A.;Ouyang, K.;Pinto, K. M.;Porter, E.;Porter, K. E.;Qian, C.;Rauf, T.;Sargsyan, A.;Schaffner, T.;Schnabel, L.;Schonfeld, B.;Sender, B.;Tang, J. D.;Tsurkov, E.;van Loon, A.;Varol, O.;Wang, X. F.;Wang, Z.;Wang, J. L.;Wang, F.;Weissman, S.;Whitaker, K.;Wolters, M. K.;Woo, W. L.;Wu, J.;Wu, C.;Yang, K. R.;others","Salganik, M. J.;Lundberg, I.;Kindel, A. T.;Ahearn, C. E.;Al-Ghoneim, K.;Almaatouq, A.;Altschul, D. M.;Brand, J. E.;Carnegie, N. B.;Compton, R. J.;Datta, D.;Davidson, T.;Filippova, A.;Gilroy, C.;Goode, B. J.;Jahani, E.;Kashyap, R.;Kirchner, A.;McKay, S.;Morgan, A. C.;Pentland, A.;Polimis, K.;Raes, L.;Rigobon, D. E.;Roberts, C. V.;Stanescu, D. M.;Suhara, Y.;Usmania, A.;Wang, E. H.;Adem, M.;Alhajri, A.;AlShebli, B.;Amin, R.;Amos, R. B.;Argyle, L. P.;Baer-Bositis, L.;Büchi, M.;Chung, B. R.;Eggert, W.;Faletto, G.;Fan, Z. L.;Freese, J.;Gadgil, T.;Gagné, J.;Gao, Y.;Halpern-Manners, A.;Hashim, S. P.;Hausen, S.;He, G. H.;Higuera, K.;Hogan, B.;Horwitz, I. M.;Hummel, L. M.;Jain, N.;Jin, K.;Jurgens, D.;Kaminski, Patrick;Karapetyan, A.;Kim, E. H.;Leizman, B.;Liu, N. J.;Möser, M.;Mack, A. E.;Mahajan, M.;Mandell, N.;Marahrens, Helga;Mercado-Garcia, D.;Mocz, V.;Mueller-Gastell, K.;Musse, A.;Niu, Q.;Nowak, W.;Omidvar, H.;Or, A.;Ouyang, K.;Pinto, K. M.;Porter, E.;Porter, K. E.;Qian, C.;Rauf, T.;Sargsyan, A.;Schaffner, T.;Schnabel, L.;Schonfeld, B.;Sender, B.;Tang, J. D.;Tsurkov, E.;van Loon, A.;Varol, Onur;Wang, X. F.;Wang, Z.;Wang, J. L.;Wang, F.;Weissman, S.;Whitaker, K.;Wolters, M. K.;Woo, W. L.;Wu, J.;Wu, C.;Yang, K. R.",NA,Proceedings of the National Academy of Sciences of the United States of America,NA,117,15,0027-8424,NA,10.1073/pnas.1915006117,WOS:000526871700030,PREDICTION,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Science & Technology - Other Topics
RN106,2024,Prevalence And Differences In The Co-Administration Of Drugs Known To Interact: An Analysis Of Three Distinct And Large Populations,"Sánchez-Valle, Jon;Correia, Rion Brattig;Camacho-Artacho, Marta;Lepore, Rosalba;Mattos, Mauro M;Rocha, Luis M;Valencia, Alfonso","Sánchez-Valle, Jon;Correia, Rion Brattig;Camacho-Artacho, Marta;Lepore, Rosalba;Mattos, Mauro M;Rocha, Luis M;Valencia, Alfonso",NA,BMC Medicine,NA,22,1,1741-7015,NA,10.1186/s12916-024-03384-1,WOS:001205495400002,CLINICAL DECISION-SUPPORT; ELDERLY-PATIENTS; EMERGENCY-DEPARTMENT; PRIMARY-CARE; HEALTH-CARE; ADVERSE; HOSPITALIZATIONS; THERAPY; RISK; EPIDEMIOLOGY,Journal Article,ARTICLE,"Medicine, General & Internal",Science Citation Index Expanded (SCI-EXPANDED),General & Internal Medicine
RN172,2021,Visual Analytics Of Stem Graduate Education: Combining The Systems Evaluation Protocol And Data Visualizations In Support Of A Nsf Nrt Program Evaluation,"Scrivner, Olga;Trochim, William;Börner, Katy","Scrivner, Olga;Trochim, William;Börner, Katy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Conference Proceedings,INPROCEEDINGS,NA,NA,NA
RN219,2023,Between You And Me: A Systematic Analysis Of Mutual Social Interaction In Perceptual Crossing Agents,"Severino, Gabriel J;Merritt, Haily;Izquierdo, Eduardo J","Severino, Gabriel J;Merritt, Haily;Izquierdo, Eduardo J",NA,NA,Artificial Life Conference Proceedings 35,2023,NA,NA,2693-1508,NA,NA,NA,Conference Proceedings,INPROCEEDINGS,NA,NA,NA
RN165,2018,The Spread Of Low-Credibility Content By Social Bots,"Shao, Chengcheng;Ciampaglia, Giovanni Luca;Varol, Onur;Yang, Kai-Cheng;Flammini, Alessandro;Menczer, Filippo","Shao, Chengcheng;Ciampaglia, Giovanni Luca;Varol, Onur;Yang, Kai-Cheng;Flammini, Alessandro;Menczer, Filippo",NA,Nature Communications,NA,9,NA,2041-1723,NA,10.1038/s41467-018-06930-7,WOS:000450580000001,MEDIA; NEWS,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN149,2020,Correlated Activity Favors Synergistic Processing In Local Cortical Networks In Vitro At Synaptically Relevant Timescales,"Sherrill, Samantha P;Timme, Nicholas M;Beggs, John M;Newman, Ehren L","Sherrill, Samantha P;Timme, Nicholas M;Beggs, John M;Newman, Ehren L",NA,Network Neuroscience,NA,4,3,2472-1751,NA,10.1162/netn_a_00141,WOS:000544715300009,VISUAL INFORMATION; ACTIVITY PATTERNS; SPIKE SYNCHRONIZATION; MUTUAL INFORMATION; SLICE CULTURES; CORTEX; BRAIN; REDUNDANCY; CONNECTIVITY; OSCILLATIONS,Journal Article,ARTICLE,Neurosciences,Science Citation Index Expanded (SCI-EXPANDED),Neurosciences & Neurology
RN169,2021,The Distance Backbone Of Complex Networks,"Simas, Tiago;Correia, Rion Brattig;Rocha, Luis M","Simas, Tiago;Correia, Rion Brattig;Rocha, Luis M",NA,Journal of Complex Networks,NA,9,6,2051-1310,NA,10.1093/comnet/cnab021,WOS:000797304300002,SETS,Journal Article,ARTICLE,"Mathematics, Interdisciplinary Applications",Science Citation Index Expanded (SCI-EXPANDED),Mathematics
RN220,2023,Characterizing The Role Of Homeostatic Plasticity In Central Pattern Generators,"Stolting, Lindsay;Beer, Randall D;Izquierdo, Eduardo J","Stolting, Lindsay;Beer, Randall D;Izquierdo, Eduardo J",NA,NA,Artificial Life Conference Proceedings 35,2023,NA,NA,2693-1508,NA,NA,NA,Conference Proceedings,INPROCEEDINGS,NA,NA,NA
RN190,2023,Synchronous High-Amplitude Co-Fluctuations Of Functional Brain Networks During Movie-Watching,"Tanner, Jacob C;Faskowitz, Joshua;Byrge, Lisa;Kennedy, Daniel P;Sporns, Olaf;Betzel, Richard F","Tanner, Jacob C;Faskowitz, Joshua;Byrge, Lisa;Kennedy, Daniel P;Sporns, Olaf;Betzel, Richard F",NA,Imaging Neuroscience,NA,1,NA,2837-6056,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN248,2022,Flickering Emergences: The Question Of Locality In Information-Theoretic Approaches To Emergence,"Varley, Thomas F","Varley, Thomas F",NA,Entropy,NA,25,1,1099-4300,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN115,2023,Decomposing Past And Future: Integrated Information Decomposition Based On Shared Probability Mass Exclusions,"Varley, Thomas F","Varley, Thomas F",NA,Plos One,NA,18,3,1932-6203,NA,10.1371/journal.pone.0282950,WOS:000984103600091,CORTICAL NETWORKS,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN145,2020,Serotonergic Psychedelics Lsd & Psilocybin Increase The Fractal Dimension Of Cortical Brain Activity In Spatial And Temporal Domains,"Varley, Thomas F;Carhart-Harris, Robin;Roseman, Leor;Menon, David K;Stamatakis, Emmanuel A","Varley, Thomas F;Carhart-Harris, Robin;Roseman, Leor;Menon, David K;Stamatakis, Emmanuel A",NA,Neuroimage,NA,220,NA,1053-8119,NA,10.1016/j.neuroimage.2020.117049,WOS:000579184700014,FUNCTIONAL CONNECTIVITY; INTEGRATED INFORMATION; PREPULSE INHIBITION; COMPLEXITY-MEASURES; LOCUS-COERULEUS; EEG; CONSCIOUSNESS; ANESTHESIA; ATTENTION; CORTEX,Journal Article,ARTICLE,"Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging",Science Citation Index Expanded (SCI-EXPANDED),"Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging"
RN151,2020,Fractal Dimension Of Cortical Functional Connectivity Networks & Severity Of Disorders Of Consciousness,"Varley, Thomas F;Craig, Michael;Adapa, Ram;Finoia, Paola;Williams, Guy;Allanson, Judith;Pickard, John;Menon, David K;Stamatakis, Emmanuel A","Varley, Thomas F;Craig, Michael;Adapa, Ram;Finoia, Paola;Williams, Guy;Allanson, Judith;Pickard, John;Menon, David K;Stamatakis, Emmanuel A",NA,Plos One,NA,15,2,1932-6203,NA,10.1371/journal.pone.0223812,WOS:000517202100001,COMPLEXITY-MEASURES; SMALL-WORLD; BRAIN; EEG; ANESTHESIA; DEPTH; INFORMATION; INTEGRATION; ENTROPY; SURFACE,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN137,2021,Topological Analysis Of Differential Effects Of Ketamine And Propofol Anaesthesia On Brain Dynamics,"Varley, Thomas F;Denny, Vanessa;Sporns, Olaf;Patania, Alice","Varley, Thomas F;Denny, Vanessa;Sporns, Olaf;Patania, Alice",NA,Royal Society Open Science,NA,8,6,2054-5703,NA,10.1098/rsos.201971,WOS:000665051900001,INTEGRATED INFORMATION; CONSCIOUSNESS; COMPLEXITY; NETWORKS; MEG; COMPUTATION; PYTHON,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN224,2024,"The Serotonergic Psychedelic N, N-Dipropyltryptamine Alters Information-Processing Dynamics In In Vitro Cortical Neural Circuits","Varley, Thomas F;Havert, Daniel;Fosque, Leandro;Alipour, Abolfazl;Weerawongphrom, Naruepon;Naganobori, Hiroki;O’Shea, Lily;Pope, Maria;Beggs, John","Varley, Thomas F;Havert, Daniel;Fosque, Leandro;Alipour, Abolfazl;Weerawongphrom, Naruepon;Naganobori, Hiroki;O’Shea, Lily;Pope, Maria;Beggs, John M",NA,Network Neuroscience,NA,NA,NA,2472-1751,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN238,2022,Emergence As The Conversion Of Information: A Unifying Theory,"Varley, Thomas F;Hoel, Erik","Varley, Thomas F;Hoel, Erik",NA,Philosophical Transactions of the Royal Society A,NA,380,2227,1364-503X,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN120,2022,Untangling Synergistic Effects Of Intersecting Social Identities With Partial Information Decomposition,"Varley, Thomas F;Kaminski, Patrick","Varley, Thomas F;Kaminski, Patrick",NA,Entropy,NA,24,10,NA,NA,10.3390/e24101387,WOS:000872630700001,DEATHS,Journal Article,ARTICLE,"Physics, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Physics
RN154,2020,Consciousness & Brain Functional Complexity In Propofol Anaesthesia,"Varley, Thomas F;Luppi, Andrea I;Pappas, Ioannis;Naci, Lorina;Adapa, Ram;Owen, Adrian M;Menon, David K;Stamatakis, Emmanuel A","Varley, Thomas F;Luppi, Andrea I;Pappas, Ioannis;Naci, Lorina;Adapa, Ram;Owen, Adrian M;Menon, David K;Stamatakis, Emmanuel A",NA,Scientific Reports,NA,10,1,2045-2322,NA,10.1038/s41598-020-57695-3,WOS:000562830300012,TIME-SERIES; ENTROPY; EEG; CONNECTIVITY; FMRI,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN114,2023,Multivariate Information Theory Uncovers Synergistic Subsystems Of The Human Cerebral Cortex,"Varley, Thomas F;Pope, Maria;Faskowitz, Joshua;Sporns, Olaf","Varley, Thomas F;Pope, Maria;Faskowitz, Joshua;Sporns, Olaf",NA,Communications Biology,NA,6,1,NA,NA,10.1038/s42003-023-04843-w,WOS:000976102800006,CONNECTIVITY; SEGREGATION; INTEGRATION; COMPLEXITY; FMRI,Journal Article,ARTICLE,Biology; Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Life Sciences & Biomedicine - Other Topics; Science & Technology - Other Topics
RN111,2023,Partial Entropy Decomposition Reveals Higher-Order Information Structures In Human Brain Activity,"Varley, Thomas F;Pope, Maria;Grazia, Maria;Joshua;Sporns, Olaf","Varley, Thomas F;Pope, Maria;Grazia, Maria;Faskowitz, Joshua;Sporns, Olaf",NA,Proceedings of the National Academy of Sciences of the United States of America,NA,120,33,0027-8424,NA,10.1073/pnas.2300888120,WOS:001089181900001,HUMAN CONNECTOME; DYNAMICS; COMPLEXITY,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN200,2022,Network Analysis Of Time Series: Novel Approaches To Network Neuroscience,"Varley, Thomas F;Sporns, Olaf","Varley, Thomas F;Sporns, Olaf",NA,Frontiers in Neuroscience,NA,15,NA,1662-453X,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN144,2020,Differential Effects Of Propofol And Ketamine On Critical Brain Dynamics,"Varley, Thomas F;Sporns, Olaf;Puce, Aina;Beggs, John","Varley, Thomas F;Sporns, Olaf;Puce, Aina;Beggs, John M",NA,Plos Computational Biology,NA,16,12,1553-734X,NA,10.1371/journal.pcbi.1008418,WOS:000603071900002,NEURONAL AVALANCHES; CORTICAL NETWORKS; POWER LAWS; INFORMATION; COMPLEXITY; CONSCIOUSNESS; RANGE; DISTRIBUTIONS; SIGNATURES; DISORDERS,Journal Article,ARTICLE,Biochemical Research Methods; Mathematical & Computational Biology,Science Citation Index Expanded (SCI-EXPANDED),Biochemistry & Molecular Biology; Mathematical & Computational Biology
RN117,2023,Information-Processing Dynamics In Neural Networks Of Macaque Cerebral Cortex Reflect Cognitive State And Behavior,"Varley, Thomas F;Sporns, Olaf;Schaffelhofer, Stefan;Scherberger, Hansjörg;Dann, Benjamin","Varley, Thomas F;Sporns, Olaf;Schaffelhofer, Stefan;Scherberger, Hansjörg;Dann, Benjamin",NA,Proceedings of the National Academy of Sciences of the United States of America,NA,120,2,0027-8424,NA,10.1073/pnas.2207677120,WOS:001045275000001,GRASP MOVEMENT REPRESENTATION; PREMOTOR; SYSTEMS; CONNECTIONS; COMPUTATION; AREAS; TIME; AIP,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN136,2021,Socioeconomic Threats Are More Salient To Farmers Than Environmental Threats,"Waldman, K. B.;Giroux, S. A.;Farmer, J. R.;Heaberlin, B. M.;Blekking, J. P.;Todd, P. M.","Waldman, Kurt B;Giroux, Stacey A.;Farmer, J. R.;Heaberlin, Bradi M;Blekking, Jordan;Todd, Peter M",NA,Journal of Rural Studies,NA,86,NA,0743-0167,NA,10.1016/j.jrurstud.2021.07.016,WOS:000691215900012,EXIT INTENTIONS; DISTRESS; HEALTH; STRESS; CRISIS; ENTRY,Journal Article,ARTICLE,Geography; Regional & Urban Planning,Social Science Citation Index (SSCI),Geography; Public Administration
RN152,2020,Translational Knowledge Discovery Between Drug Interactions And Pharmacogenetics,"Wu, H. Y.;Shendre, A.;Zhang, S. J.;Zhang, P. Y.;Wang, L.;Zeruesenay, D.;Rocha, L. M.;Shatkay, H.;Quinney, S. K.;Ning, X.;Li, L.","Wu, H. Y.;Shendre, A.;Zhang, S. J.;Zhang, P. Y.;Wang, L.;Zeruesenay, D.;Rocha, Luis M;Shatkay, H.;Quinney, S. K.;Ning, X.;Li, L.",NA,Clinical Pharmacology & Therapeutics,NA,107,4,0009-9236,NA,10.1002/cpt.1745,WOS:000510601500001,PHARMACOKINETICS; NEPHROTOXICITY; CISPLATIN; TAMOXIFEN; GENOTYPE; CYP2D6,Journal Article,ARTICLE,Pharmacology & Pharmacy,Science Citation Index Expanded (SCI-EXPANDED),Pharmacology & Pharmacy
RN158,2019,"""The Rippled Perceptions"": The Effects Of Lgbt-Inclusive Tv On Own Attitudes And Perceived Attitudes Of Peers Toward Lesbians And Gays","Yan, H. Y.","Yan, Harry Yaojun",NA,Journalism & Mass Communication Quarterly,NA,96,3,1077-6990,NA,10.1177/1077699018821327,WOS:000480252300010,SAME-SEX MARRIAGE; INTERGROUP CONTACT; MEDIA; TELEVISION; EXPOSURE; PRESS; STATE; MEN,Journal Article,ARTICLE,Communication,Social Science Citation Index (SSCI),Communication
RN148,2021,Asymmetrical Perceptions Of Partisan Political Bots,"Yan, Harry Yaojun;Yang, Kai-Cheng;Menczer, Filippo;Shanahan, James","Yan, Harry Yaojun;Yang, Kai-Cheng;Menczer, Filippo;Shanahan, James",NA,New Media & Society,NA,23,10,1461-4448,NA,10.1177/1461444820942744,WOS:000549928600001,DECISION-MAKING; FAKE NEWS; MEDIA,Journal Article,ARTICLE,Communication,Social Science Citation Index (SSCI),Communication
RN143,2021,The Covid-19 Infodemic: Twitter Versus Facebook,"Yang, Kai-Cheng;Pierri, Francesco;Hui, Pik-Mai;Axelrod, David;Torres-Lugo, Christopher;Bryden, John;Menczer, Filippo","Yang, Kai-Cheng;Pierri, Francesco;Hui, Pik-Mai;Axelrod, David;Torres-Lugo, Christopher;Bryden, John;Menczer, Filippo",NA,Big Data & Society,NA,8,1,2053-9517,NA,10.1177/20539517211013861,WOS:000762387300001,ZIKA VIRUS; HEALTH INFORMATION; MISINFORMATION; EBOLA; FACTS; NEWS; WEB,Journal Article,ARTICLE,"Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI),Social Sciences - Other Topics
RN132,2022,Speech Behavioral Markers Align On Symptom Factors In Psychological Distress,"Zhang, Larry;Kolacz, Jacek;Rizzo, Albert;Scherer, Stefan;Soleymani, Mohammad","Zhang, Larry;Kolacz, Jacek;Rizzo, Albert;Scherer, Stefan;Soleymani, Mohammad",NA,NA,10th International Conference On Affective Computing And Intelligent Interaction (Acii),NA,NA,NA,978-1-6654-5908-2,10.1109/acii55700.2022.9953849,WOS:000893674200020,DEPRESSION SEVERITY; PHQ-9; PTSD,Conference Proceedings,INPROCEEDINGS,"Computer Science, Artificial Intelligence; Computer Science, Cybernetics; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science
RN6,2021,Neuropsychological Test Validation Of Speech Markers Of Cognitive Impairment In The Framingham Cognitive Aging Cohort,"Zhang, Larry;Ngo, Anthony;Thomas, Jason A;Burkhardt, Hannah A;Parsey, Carolyn M;Au, Rhoda;Ghomi, Reza Hosseini","Zhang, Larry;Ngo, Anthony;Thomas, Jason A;Burkhardt, Hannah A;Parsey, Carolyn M;Au, Rhoda;Ghomi, Reza Hosseini",NA,Exploration of medicine,NA,2,NA,NA,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN139,2021,"Pornography Use, Two Forms Of Dehumanization, And Sexual Aggression: Attitudes Vs. Behaviors","Zhou, Y. Y.;Liu, T.;Yan, Y. J.;Paul, B.","Zhou, Y. Y.;Liu, T.;Yan, Harry Yaojun;Paul, B.",NA,Journal of Sex & Marital Therapy,NA,47,6,0092-623X,NA,10.1080/0092623x.2021.1923598,WOS:000650473700001,SELF-REPORTED LIKELIHOOD; ADOLESCENTS EXPOSURE; VIOLENT PORNOGRAPHY; AMBIVALENT SEXISM; CONFLUENCE MODEL; SOCIAL MEDIA; WOMEN; OBJECTIFICATION; RAPE; ACCEPTANCE,Journal Article,ARTICLE,"Psychology, Clinical; Family Studies",Social Science Citation Index (SSCI),Psychology; Family Studies
RN223,2018,Network Visualization Literacy: Novel Approaches To Measurement And Instruction,"Zoss, Angela;Maltese, Adam;Uzzo, Stephen Miles;Börner, Katy","Zoss, Angela;Maltese, Adam;Uzzo, Stephen Miles;Börner, Katy",NA,Network Science In Education: Transformational Approaches in Teaching and Learning,NA,NA,NA,3319772368,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
