"Variable","Label","ImportJSON"
"Q56","Please use the space below to share any other thoughts or comments about the NRT Annual Showcase presentation experience.","{""ImportId"":""QID76_TEXT""}"
"Q60","Participating in the NRT Extended Colloquium Series has helped to improve my research skills.","{""ImportId"":""QID81""}"
"Q59","Participating at the NRT Extended Colloquium Series has helped to form new research collaborations.","{""ImportId"":""QID80""}"
"Q62","Are there ways that the NRT Extended Colloquium Series program could be improved?","{""ImportId"":""QID85""}"
"Q62a","In what ways could the NRT Extended Colloquium Series program could be improved?","{""ImportId"":""QID86_TEXT""}"
"Q64","Please use the space below to share thoughts or comments about the NRT Extended Colloquium Series experience not captured by the previous questions.","{""ImportId"":""QID89_TEXT""}"
"Q124_1","Receiving mentorship from a NRT mentor has helped me to - improve my presentation skills.","{""ImportId"":""QID124_1""}"
"Q124_2","Receiving mentorship from a NRT mentor has helped me to - improve the quality and quantity of my publications.","{""ImportId"":""QID124_2""}"
"Q124_3","Receiving mentorship from a NRT mentor has helped me to - improve the quality and quantity of my grant proposals.","{""ImportId"":""QID124_3""}"
"Q124_4","Receiving mentorship from a NRT mentor has helped me to - improve my research skills.","{""ImportId"":""QID124_4""}"
"Q124_5","Receiving mentorship from a NRT mentor has helped me to - build interdisciplinary skills in my research.","{""ImportId"":""QID124_5""}"
"Q124_6","Receiving mentorship from a NRT mentor has helped me to - open up new opportunities for collaboration.","{""ImportId"":""QID124_6""}"
"Q125_1","My mentor - was accessible.","{""ImportId"":""QID125_1""}"
"Q125_2","My mentor - demonstrated professional integrity.","{""ImportId"":""QID125_2""}"
"Q125_3","My mentor - demonstrated content expertise in my area of need.","{""ImportId"":""QID125_3""}"
"Q125_4","My mentor - was approachable.","{""ImportId"":""QID125_4""}"
"Q125_5","My mentor - was supportive and encouraging.","{""ImportId"":""QID125_5""}"
"Q125_6","My mentor - provided constructive and useful critiques of my work.","{""ImportId"":""QID125_6""}"
"Q125_7","My mentor - was helpful in providing direction and guidance on professional issues (e.g., networking).","{""ImportId"":""QID125_7""}"
"Q125_8","My mentor - answered my questions satisfactorily (e.g., timely response, clear, comprehensive).","{""ImportId"":""QID125_8""}"
"Q125_9","My mentor - acknowledged my contributions appropriately (e.g., committee contributions, awards).","{""ImportId"":""QID125_9""}"
"Q125_10","My mentor - suggested appropriate resources (e.g., expert electronic contacts, source materials).","{""ImportId"":""QID125_10""}"
"Q125_11","My mentor - challenged me to extend my abilities (e.g., risk taking, try a new professional activity, draft a section of an article).","{""ImportId"":""QID125_11""}"
"Q27","Are there ways you think the mentorship process could be improved?","{""ImportId"":""QID32""}"
"Q27T","What are ways you think the mentorship process could be improved?","{""ImportId"":""QID33_TEXT""}"
"Q29","Please use the space below to share thoughts or comments about NRT mentorships.","{""ImportId"":""QID35_TEXT""}"
"Q138_1","My research to date reflects - my openness to diverse disciplinary perspectives when analyzing particular problems.","{""ImportId"":""QID138_1""}"
"Q138_2","My research to date reflects - my interest in learning about disciplinary concepts and theories in addition to the ones I am most familiar with.","{""ImportId"":""QID138_2""}"
"Q138_3","My research to date reflects - my interest in learning about new research methods that are different from the ones I am most familiar.","{""ImportId"":""QID138_10""}"
"Q138_4","My research to date reflects - my ability to conceptualize complex problems by identifying various situation-specific factors that account for those problems.","{""ImportId"":""QID138_11""}"
"Q138_5","My research to date reflects - my ability to create conceptual frameworks that bridge multiple fields.","{""ImportId"":""QID138_12""}"
"Q138_6","My research to date reflects - my ability to think broadly about complex problems.","{""ImportId"":""QID138_3""}"
"Q140","I would describe myself as someone who values interdisciplinary collaboration.","{""ImportId"":""QID140""}"
"Q141","I am willing to invest the time required for learning about fields that are different from my own.","{""ImportId"":""QID141""}"
"Q142","I enjoy tackling the challenges posed by working on complex problems, even if doing so requires me to expend extra time and effort.","{""ImportId"":""QID142""}"
"Q143","I generally approach scientific problems from a multi-level perspective that encompasses both micro- and macro- level factors.","{""ImportId"":""QID143""}"
"Q144","In my own work, I incorporate perspectives from fields that are different from my own.","{""ImportId"":""QID144""}"
"Q145","In my own research, I use research methods drawn from more than one discipline rather than relying exclusively on a single disciplinary approach.","{""ImportId"":""QID145""}"
"Q137","The NRT program has had a positive effect on my interdisciplinary.","{""ImportId"":""QID137""}"
